School Number,,School Name,English Reading 2018-2019 Adv Pass Rate,Writing 2018-2019 Adv Pass Rate,Geography 2018-2019 Adv Pass Rate,VA & US History 2018-2019 Adv Pass Rate,World History I 2018-2019 Adv Pass Rate,World History II 2018-2019 Adv Pass Rate,Algebra I 2018-2019 Adv Pass Rate,Algebra II 2018-2019 Adv Pass Rate,Geometry 2018-2019 Adv Pass Rate,Biology 2018-2019 Adv Pass Rate,Chemistry 2018-2019 Adv Pass Rate,Earth Science 2018-2019 Adv Pass Rate,Standard Diploma ,Advanced Studies Diploma ,Other Diploma ,Certificate of Program Completion ,GED Certificate ,ISAEP3,Total Graduates2 and Completers 2019-2020,Attending Two-year Colleges,Attending Four-year Colleges,Other Continuing Education Plans,Employment,Military,No Plans,Division Name,Jurisdiction,"Population estimates, July 1, 2019, (V2019)","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Hispanic or Latino, percent(b)","Owner-occupied housing unit rate, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","Population per square mile, 2010"
540,,Arcadia High,5,13,1,2,12,5,1,5,6,6,0,1,84,68,,7,3,,162,2,148,6,4,1,1,Accomack County  ,"Accomack County, Virginia",32316,0.513,0.678,0.288,0.007,0.008,0.091,0.668,0.811,0.685,0.815,0.195,46073,26018,0.164,73.8
70,,Nandua High,4,19,2,7,7,22,0,11,4,22,0,5,71,73,8,,,,152,49,47,7,7,34,8,Accomack County  ,"Accomack County, Virginia",32316,0.513,0.678,0.288,0.007,0.008,0.091,0.668,0.811,0.685,0.815,0.195,46073,26018,0.164,73.8
880,,Albemarle High,12,40,0,7,14,11,2,16,3,10,27,4,152,293,27,1,1,,474,93,260,30,47,8,36,Albemarle County  ,"Albemarle County, Virginia",109330,0.521,0.818,0.097,0.004,0.055,0.058,0.633,0.931,0.853,0.921,0.551,79880,44799,0.067,137.3
1052,,Monticello High,10,30,7,3,13,8,0,11,0,20,22,4,109,163,1,,3,,276,72,124,4,68,6,2,Albemarle County  ,"Albemarle County, Virginia",109330,0.521,0.818,0.097,0.004,0.055,0.058,0.633,0.931,0.853,0.921,0.551,79880,44799,0.067,137.3
890,,Murray High,5,23,11,,0,0,0,0,0,13,,6,18,3,,,,,21,10,3,2,6,,,Albemarle County  ,"Albemarle County, Virginia",109330,0.521,0.818,0.097,0.004,0.055,0.058,0.633,0.931,0.853,0.921,0.551,79880,44799,0.067,137.3
140,,Western Albemarle High,12,54,22,8,27,17,0,17,4,22,19,6,63,223,5,,,3,294,35,205,30,23,1,,Albemarle County  ,"Albemarle County, Virginia",109330,0.521,0.818,0.097,0.004,0.055,0.058,0.633,0.931,0.853,0.921,0.551,79880,44799,0.067,137.3
310,,Alleghany High,4,10,7,5,17,9,0,14,0,14,5,3,74,74,7,,3,,158,65,42,9,40,2,,Alleghany County  ,"Alleghany County, Virginia",14860,0.511,0.928,0.047,0.003,0.003,0.016,0.762,0.815,0.697,0.86,0.15,47673,27338,0.115,36.5
10,,Amelia County High,8,29,5,16,10,6,11,1,4,0,8,6,69,64,7,,,,140,32,56,19,26,7,,Amelia County  ,"Amelia County, Virginia",13145,0.507,0.765,0.204,0.006,0.006,0.032,0.844,0.832,0.719,0.839,0.171,57946,31688,0.093,35.7
750,,Amherst County High,22,,0,3,0,1,10,6,12,18,3,7,144,138,7,,2,,291,79,102,8,69,17,16,Amherst County  ,"Amherst County, Virginia",31605,0.514,0.769,0.191,0.009,0.006,0.024,0.771,0.812,0.692,0.856,0.191,52888,26712,0.12,68.3
260,,Appomattox County High,13,0,8,26,1,17,15,9,30,4,0,0,70,72,4,,,3,149,33,66,6,40,4,,Appomattox County  ,"Appomattox County, Virginia",15911,0.515,0.787,0.185,0.003,0.004,0.019,0.778,0.818,0.694,0.859,0.209,58696,28586,0.126,44.9
618,,Arlington Community High,0,0,0,17,40,,,,8,27,2,6,55,5,,,1,,61,29,7,8,16,1,,Arlington County  ,"Arlington County, Virginia",236842,0.499,0.75,0.097,0.006,0.11,0.156,0.427,0.957,0.913,0.943,0.753,120071,71841,0.076,7993.6
450,,Wakefield High,21,3,4,17,6,17,23,3,15,45,8,10,228,261,20,,,1,510,132,270,10,35,14,49,Arlington County  ,"Arlington County, Virginia",236842,0.499,0.75,0.097,0.006,0.11,0.156,0.427,0.957,0.913,0.943,0.753,120071,71841,0.076,7993.6
80,,Washington-Liberty High,7,6,1,17,15,27,36,7,16,48,11,11,162,407,7,,,,576,91,410,10,26,7,32,Arlington County  ,"Arlington County, Virginia",236842,0.499,0.75,0.097,0.006,0.11,0.156,0.427,0.957,0.913,0.943,0.753,120071,71841,0.076,7993.6
330,,Yorktown High,18,10,7,18,22,33,25,9,2,19,14,22,118,419,9,,,,546,59,453,11,16,3,4,Arlington County  ,"Arlington County, Virginia",236842,0.499,0.75,0.097,0.006,0.11,0.156,0.427,0.957,0.913,0.943,0.753,120071,71841,0.076,7993.6
