,"Population estimates, July 1, 2019, (V2019)","Population estimates base, April 1, 2010, (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019, (V2019)","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent(a)","American Indian and Alaska Native alone, percent(a)","Asian alone, percent(a)","Two or More Races, percent","Hispanic or Latino, percent(b)","White alone, not Hispanic or Latino, percent","Veterans, 2015-2019","Foreign born persons, percent, 2015-2019","Housing units, July 1, 2019, (V2019)","Owner-occupied housing unit rate, 2015-2019","Median value of owner-occupied housing units, 2015-2019","Median selected monthly owner costs -with a mortgage, 2015-2019","Median selected monthly owner costs -without a mortgage, 2015-2019","Median gross rent, 2015-2019","Building permits, 2019","Households, 2015-2019","Persons per household, 2015-2019","Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","Households with a computer, percent, 2015-2019","Households with a broadband Internet subscription, percent, 2015-2019","High school graduate or higher, percent of persons age 25 years+, 2015-2019","Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","With a disability, under age 65 years, percent, 2015-2019","Persons without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2015-2019","In civilian labor force, female, percent of population age 16 years+, 2015-2019","Total retail sales, 2012 ($1,000)(c)","Total retail sales per capita, 2012(c)","Mean travel time to work (minutes), workers age 16 years+, 2015-2019","Median household income (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Per capita income in past 12 months (in 2019 dollars), 2015-2019","Persons in poverty, percent","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
"Accomack County, Virginia","32,316.0000","33,162.0000",-0.0260,0.0560,0.2070,0.2460,0.2460,0.5130,0.6780,0.2880,0.0070,0.0080,0.0170,0.0910,0.5990,"2,606.0000",0.0770,"21,319.0000",0.6680,"171,800.0000","1,241.0000",384.0000,831.0000,81.0000,"13,438.0000",2.3500,0.9300,0.1150,0.8110,0.6850,0.8150,0.1950,0.0880,0.0880,0.1700,0.5360,0.4830,"348,195.0000","10,443.0000",22.9000,"46,073.0000","26,018.0000","26,018.0000",0.1640,"2,997.0000","1,716.0000",802.0000,335.0000,"2,560.0000",212.0000,"2,536.0000",73.8000,449.5000,"51,001.0000"
"Albemarle County, Virginia","109,330.0000","98,998.0000",0.1040,0.0520,0.1970,0.1930,0.1930,0.5210,0.8180,0.0970,0.0040,0.0550,0.0260,0.0580,0.7690,"6,705.0000",0.1040,"47,081.0000",0.6330,"356,100.0000","1,869.0000",541.0000,"1,273.0000",948.0000,"41,496.0000",2.4200,0.8020,0.1170,0.9310,0.8530,0.9210,0.5510,0.0480,0.0480,0.0970,0.6170,0.5820,"1,497,509.0000","14,645.0000",22.0000,"79,880.0000","44,799.0000","44,799.0000",0.0670,"11,062.0000","5,716.0000","3,967.0000","1,236.0000","9,370.0000","1,306.0000","8,936.0000",137.3000,720.7000,"51,003.0000"
"Alleghany County, Virginia","14,860.0000","16,264.0000",-0.0860,0.0440,0.1830,0.2550,0.2550,0.5110,0.9280,0.0470,0.0030,0.0030,0.0190,0.0160,0.9140,"1,042.0000",0.0130,"8,010.0000",0.7620,"119,700.0000","1,010.0000",372.0000,653.0000,14.0000,"6,600.0000",2.2400,0.9130,0.0180,0.8150,0.6970,0.8600,0.1500,0.1360,0.1360,0.1040,0.4820,0.4360,"75,144.0000","4,630.0000",25.6000,"47,673.0000","27,338.0000","27,338.0000",0.1150,893.0000,596.0000,189.0000,38.0000,821.0000,104.0000,754.0000,36.5000,445.4600,"51,005.0000"
"Amelia County, Virginia","13,145.0000","12,695.0000",0.0350,0.0550,0.2080,0.2010,0.2010,0.5070,0.7650,0.2040,0.0060,0.0060,0.0180,0.0320,0.7400,980.0000,0.0120,"5,677.0000",0.8440,"201,400.0000","1,335.0000",344.0000,826.0000,54.0000,"4,954.0000",2.5900,0.8980,0.0380,0.8320,0.7190,0.8390,0.1710,0.1100,0.1100,0.1360,0.6310,0.5740,"71,057.0000","5,569.0000",39.9000,"57,946.0000","31,688.0000","31,688.0000",0.0930,893.0000,444.0000,335.0000,159.0000,695.0000,69.0000,778.0000,35.7000,355.2700,"51,007.0000"
"Amherst County, Virginia","31,605.0000","32,354.0000",-0.0230,0.0520,0.1930,0.2160,0.2160,0.5140,0.7690,0.1910,0.0090,0.0060,0.0250,0.0240,0.7490,"2,565.0000",0.0180,"14,266.0000",0.7710,"155,600.0000","1,126.0000",335.0000,728.0000,47.0000,"12,160.0000",2.5200,0.8740,0.0280,0.8120,0.6920,0.8560,0.1910,0.1150,0.1150,0.1210,0.5840,0.5290,"273,370.0000","8,442.0000",27.3000,"52,888.0000","26,712.0000","26,712.0000",0.1200,"2,117.0000","1,094.0000",810.0000,397.0000,"1,634.0000",185.0000,"1,819.0000",68.3000,473.9300,"51,009.0000"
"Appomattox County, Virginia","15,911.0000","15,028.0000",0.0590,0.0580,0.2100,0.2120,0.2120,0.5150,0.7870,0.1850,0.0030,0.0040,0.0200,0.0190,0.7710,"1,407.0000",0.0120,"7,424.0000",0.7780,"158,800.0000","1,136.0000",344.0000,691.0000,78.0000,"6,091.0000",2.5700,0.9460,0.0170,0.8180,0.6940,0.8590,0.2090,0.1150,0.1150,0.1180,0.5870,0.5560,"143,824.0000","9,507.0000",29.5000,"58,696.0000","28,586.0000","28,586.0000",0.1260,962.0000,616.0000,253.0000,117.0000,796.0000,80.0000,806.0000,44.9000,333.4900,"51,011.0000"
"Arlington County, Virginia","236,842.0000","207,696.0000",0.1400,0.0580,0.1810,0.1110,0.1110,0.4990,0.7500,0.0970,0.0060,0.1100,0.0360,0.1560,0.6140,"12,177.0000",0.2320,"118,880.0000",0.4270,"705,400.0000","3,011.0000",983.0000,"1,970.0000",743.0000,"107,032.0000",2.1500,0.7960,0.2970,0.9570,0.9130,0.9430,0.7530,0.0370,0.0370,0.0670,0.7710,0.7390,"2,608,839.0000","11,802.0000",29.2000,"120,071.0000","71,841.0000","71,841.0000",0.0760,"21,665.0000","11,888.0000","7,902.0000","6,403.0000","14,039.0000","2,366.0000","18,087.0000","7,993.6000",25.9700,"51,013.0000"
"Augusta County, Virginia","75,558.0000","73,753.0000",0.0240,0.0420,0.1850,0.2190,0.2190,0.4920,0.9280,0.0470,0.0030,0.0060,0.0160,0.0310,0.9020,"5,648.0000",0.0260,"32,851.0000",0.7930,"214,000.0000","1,339.0000",384.0000,890.0000,390.0000,"29,539.0000",2.4000,0.8730,0.0340,0.8670,0.7580,0.8740,0.2270,0.0910,0.0910,0.1040,0.5830,0.5650,"621,286.0000","8,435.0000",23.9000,"62,711.0000","30,272.0000","30,272.0000",0.0730,"5,645.0000","3,051.0000","1,784.0000",282.0000,"5,174.0000",728.0000,"4,536.0000",76.3000,967.0000,"51,015.0000"
"Bath County, Virginia","4,147.0000","4,727.0000",-0.1230,0.0410,0.1510,0.2800,0.2800,0.4940,0.9290,0.0480,0.0020,0.0050,0.0150,0.0220,0.9110,373.0000,0.0210,"3,300.0000",0.7530,"165,300.0000","1,093.0000",342.0000,537.0000,9.0000,"1,801.0000",2.2800,0.8940,0.0200,0.7880,0.6860,0.9030,0.1590,0.0790,0.0790,0.1260,0.5860,0.6010,"17,227.0000","3,703.0000",23.0000,"49,738.0000","27,527.0000","27,527.0000",0.0990,402.0000,210.0000,136.0000,F,371.0000,79.0000,294.0000,8.9000,529.1600,"51,017.0000"
"Bedford County, Virginia","78,997.0000","74,929.0000",0.0540,0.0460,0.1970,0.2180,0.2180,0.5080,0.8960,0.0720,0.0040,0.0120,0.0160,0.0240,0.8760,"6,607.0000",0.0290,"37,040.0000",0.8210,"201,900.0000","1,303.0000",348.0000,855.0000,53.0000,"31,317.0000",2.4900,0.8700,0.0440,0.8680,0.7610,0.9000,0.2920,0.0970,0.0970,0.1030,0.5930,0.5330,"521,240.0000","7,490.0000",27.2000,"64,199.0000","33,678.0000","33,678.0000",0.0860,"4,688.0000","2,592.0000","1,385.0000",311.0000,"4,257.0000",567.0000,"3,799.0000",91.2000,753.0200,"51,019.0000"
